scheme,boundary,mean_hit_ratio,mean_best_cover,mean_best_iou,full80_ratio,avg_num_pred_spans,rank_score
object_balanced_with_collision,thres_hz1.0_lz0.1_exp8_12,0.9787234042553191,0.5958146458063109,0.4445298338618111,0.2553191489361702,2.723404255319149,0.6166993558366934
object_balanced_with_collision,thres_hz1.0_lz0.4_exp8_12,0.9787234042553191,0.5958146458063109,0.4448096254481673,0.2553191489361702,2.765957446808511,0.6165565377758356
object_residual_turn,thres_hz1.0_lz0.1_exp8_12,1.0,0.590137785703482,0.4566926111297981,0.2127659574468085,2.9361702127659575,0.6158377903150416
object_residual_turn,thres_hz0.8_lz0.1_exp8_12,1.0,0.590137785703482,0.45632027070426623,0.2127659574468085,2.9574468085106385,0.6156383222299352
object_residual_turn,thres_hz0.8_lz0.25_exp8_12,1.0,0.59002923164356,0.4562450883871472,0.2127659574468085,2.978723404255319,0.6154588666419711
object_residual_turn,thres_hz0.8_lz0.4_exp8_12,1.0,0.5895226460305915,0.45597231151862555,0.2127659574468085,3.0,0.615030996639633
object_residual_turn,thres_hz1.0_lz0.25_exp8_12,1.0,0.5886994444095175,0.45567875547100195,0.2127659574468085,2.9574468085106385,0.614758772774637
object_residual_turn,thres_hz1.0_lz0.4_exp8_12,1.0,0.5877495963852014,0.455093087488588,0.2127659574468085,2.978723404255319,0.6140310487881521
object_scene_balanced,peeks_hz0.75_exp6_12,0.9787234042553191,0.5914402746626327,0.44286346009731326,0.2127659574468085,2.5106382978723403,0.6109040874620276
object_scene_balanced,peeks_hz0.95_exp6_12,0.9787234042553191,0.5828879175495748,0.4393428853400076,0.2127659574468085,2.5106382978723403,0.6057477652161724
baseline_current_raw,thres_hz0.6_lz0.1_exp4_8,1.0,0.5545641531921021,0.47644137222231886,0.2553191489361702,3.5531914893617023,0.6041583770984393
baseline_current_raw,thres_hz0.6_lz0.25_exp4_8,1.0,0.5535509819661649,0.47542820099638167,0.2553191489361702,3.5319148936170213,0.6035048816577099
baseline_current_raw,thres_hz0.6_lz0.4_exp4_8,1.0,0.5533423878902366,0.4752196069204534,0.2553191489361702,3.5319148936170213,0.6033484361007636
object_scene_light,thres_hz0.6_lz0.1_exp8_12,1.0,0.5696980230191778,0.45480044649978063,0.19148936170212766,3.148936170212766,0.601953378453683
object_scene_light,thres_hz0.6_lz0.25_exp8_12,1.0,0.569589468959256,0.45480044649978063,0.19148936170212766,3.148936170212766,0.601899101423722
object_scene_light,thres_hz0.6_lz0.4_exp8_12,1.0,0.5686223509708614,0.4542011057745784,0.19148936170212766,3.148936170212766,0.6012657072482241
