hit_ratio,full80_ratio,mean_best_cover,mean_best_iou,mean_best_pred_to_gt_ratio,avg_span_ratio,num_pred_spans,gt_lift,wide_single_flag,raw_span_count,final_span_count,merge_compression,merge_to_single_flag,merge_to_single_rate,scheme,boundary,coverage_rank,vlm_ready_rank,method,high_z,low_z,peak_gap,peak_expand_left,peak_expand_right,peak_expand_sum,merge_gap,min_span_len
1.0,0.7446808510638298,0.8655356687015333,0.5711904061237216,1.6096400282760714,0.8144237368476062,1.8085106382978724,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.8085106382978724,0.2221733304814917,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp6_10_mg8_min8,0.7487445694248827,0.6457969065901392,by_thres,1.0,0.0,4,6,10,16,8,8
1.0,0.7446808510638298,0.8655356687015333,0.566938001626889,1.6364287579523393,0.8173706998673693,1.8085106382978724,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.8085106382978724,0.21938356705343043,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp6_10_mg8_min4,0.7479791366154528,0.6451165218706459,by_thres,0.8,0.0,4,6,10,16,8,4
1.0,0.7446808510638298,0.8655356687015333,0.566938001626889,1.6364287579523393,0.8173706998673693,1.8085106382978724,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.8085106382978724,0.21938356705343043,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp6_10_mg8_min6,0.7479791366154528,0.6451165218706459,by_thres,0.8,0.0,4,6,10,16,8,6
1.0,0.7446808510638298,0.8655356687015333,0.566938001626889,1.6364287579523393,0.81573403865624,1.7872340425531914,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.7872340425531914,0.22470271598960065,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp6_10_mg8_min8,0.7479791366154528,0.6451165218706459,by_thres,0.8,0.0,4,6,10,16,8,8
1.0,0.7446808510638298,0.8636014327247443,0.5699995639281661,1.6054338325805144,0.8140896689440565,1.8297872340425532,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8297872340425532,0.21312144544976344,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp6_10_mg8_min4,0.7477178387194313,0.6450261010458136,by_thres,1.2,0.0,4,6,10,16,8,4
1.0,0.7446808510638298,0.8636014327247443,0.5699995639281661,1.6054338325805144,0.8140896689440565,1.8297872340425532,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8297872340425532,0.21312144544976344,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp6_10_mg8_min6,0.7477178387194313,0.6450261010458136,by_thres,1.2,0.0,4,6,10,16,8,6
1.0,0.7446808510638298,0.8636014327247443,0.5699995639281661,1.6054338325805144,0.8124530077329272,1.8085106382978724,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8085106382978724,0.21844059438593366,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp6_10_mg8_min8,0.7477178387194313,0.6450261010458136,by_thres,1.2,0.0,4,6,10,16,8,8
1.0,0.7446808510638298,0.8567063325678285,0.5690249923770242,1.5745476282958561,0.8016257283041748,1.8936170212765957,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.8936170212765957,0.21355350965282432,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp4_8_mg8_min4,0.7446464737743211,0.6428016395505561,by_thres,1.0,0.0,4,4,8,12,8,4
1.0,0.7446808510638298,0.8567063325678285,0.5690249923770242,1.5745476282958561,0.8002618439615671,1.872340425531915,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.872340425531915,0.21887265858899452,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp4_8_mg8_min6,0.7446464737743211,0.6428016395505561,by_thres,1.0,0.0,4,4,8,12,8,6
1.0,0.7446808510638298,0.8567063325678285,0.5690249923770242,1.5745476282958561,0.7994203966722294,1.851063829787234,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.851063829787234,0.22241875787977466,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp4_8_mg8_min8,0.7446464737743211,0.6428016395505561,by_thres,1.0,0.0,4,4,8,12,8,8
