mean_hit_ratio,mean_best_cover,mean_best_iou,full80_ratio,avg_num_pred_spans,avg_span_ratio,mean_best_pred_to_gt_ratio,mean_gt_lift,vlm_refine_rank,scheme,boundary
1.0,0.7303909464532891,0.5036100499088405,0.425531914893617,1.9787234042553192,0.8088133251226195,1.3190325283648745,0.5181236769013265,0.4856072623238043,object_scene_light_norm,peeks_hz0.75_exp10_16_mg4_min6
1.0,0.7303909464532891,0.5036100499088405,0.425531914893617,1.9787234042553192,0.8088133251226195,1.3190325283648745,0.5181236769013265,0.4856072623238043,object_scene_light_norm,peeks_hz0.75_exp10_16_mg4_min8
1.0,0.7303909464532891,0.5036100499088405,0.425531914893617,1.9787234042553192,0.8088133251226195,1.3190325283648745,0.5181236769013265,0.4856072623238043,object_scene_light_norm,peeks_hz0.75_exp10_16_mg4_min10
1.0,0.721339679266853,0.5016778113443252,0.425531914893617,2.021276595744681,0.798931798422096,1.2963720779822714,0.5181236769013265,0.48542595596166394,object_scene_light_norm,peeks_hz1.35_exp10_16_mg4_min6
1.0,0.721339679266853,0.5016778113443252,0.425531914893617,2.021276595744681,0.798931798422096,1.2963720779822714,0.5181236769013265,0.48542595596166394,object_scene_light_norm,peeks_hz1.35_exp10_16_mg4_min8
1.0,0.721339679266853,0.5016778113443252,0.425531914893617,2.021276595744681,0.798931798422096,1.2963720779822714,0.5181236769013265,0.48542595596166394,object_scene_light_norm,peeks_hz1.35_exp10_16_mg4_min10
1.0,0.6372661305856967,0.5080683045853426,0.3829787234042553,2.872340425531915,0.7002950968753782,0.9355173108513795,0.5999712664782605,0.485247123165774,source_like_smooth5,peeks_hz1.15_exp4_8_mg8_min6
1.0,0.6347332025208537,0.5053015677760526,0.3829787234042553,2.851063829787234,0.6986584356642488,0.9512214648534059,0.5999712664782605,0.48496343522251156,source_like_smooth5,peeks_hz1.15_exp4_8_mg8_min8
1.0,0.721677403008832,0.49765821057800885,0.425531914893617,2.0,0.8000747049879398,1.306166066499664,0.5181236769013265,0.48469847669439003,object_scene_light_norm,peeks_hz1.15_exp10_16_mg4_min6
1.0,0.721677403008832,0.49765821057800885,0.425531914893617,2.0,0.8000747049879398,1.306166066499664,0.5181236769013265,0.48469847669439003,object_scene_light_norm,peeks_hz1.15_exp10_16_mg4_min8
1.0,0.721677403008832,0.49765821057800885,0.425531914893617,2.0,0.8000747049879398,1.306166066499664,0.5181236769013265,0.48469847669439003,object_scene_light_norm,peeks_hz1.15_exp10_16_mg4_min10
1.0,0.6770659739126715,0.5572850969647984,0.40425531914893614,3.127659574468085,0.7563478248496228,0.9589786536348677,0.6045345284559942,0.4842508040943529,source_like_smooth3,peeks_hz0.95_exp4_8_mg4_min6
1.0,0.6770659739126715,0.5572850969647984,0.40425531914893614,3.127659574468085,0.7563478248496228,0.9589786536348677,0.6045345284559942,0.4842508040943529,source_like_smooth3,peeks_hz1.15_exp4_8_mg4_min6
1.0,0.6770659739126715,0.5527134707014233,0.40425531914893614,3.0425531914893615,0.7588247663898148,0.9859965529931927,0.6045345284559942,0.48404782988517553,source_like_smooth3,peeks_hz0.75_exp4_8_mg4_min10
1.0,0.6736574816030861,0.5274252194810382,0.40425531914893614,2.8085106382978724,0.7540624760238022,0.9977419729360526,0.5999712664782605,0.48393763787493804,source_like_smooth5,peeks_hz0.55_exp6_10_mg4_min10
1.0,0.6746481789416849,0.5555492441651158,0.40425531914893614,3.127659574468085,0.7543462529937586,0.9546266226870921,0.6045345284559942,0.4839305678860463,source_like_smooth3,peeks_hz1.35_exp4_8_mg4_min6
1.0,0.721677403008832,0.4974304504094663,0.425531914893617,2.0,0.8021521729697106,1.3074176309552334,0.5181236769013265,0.4838219374679732,object_scene_light_norm,peeks_hz0.95_exp10_16_mg4_min6
1.0,0.721677403008832,0.4974304504094663,0.425531914893617,2.0,0.8021521729697106,1.3074176309552334,0.5181236769013265,0.4838219374679732,object_scene_light_norm,peeks_hz0.95_exp10_16_mg4_min8
1.0,0.721677403008832,0.4974304504094663,0.425531914893617,2.0,0.8021521729697106,1.3074176309552334,0.5181236769013265,0.4838219374679732,object_scene_light_norm,peeks_hz0.95_exp10_16_mg4_min10
1.0,0.6770659739126715,0.5527134707014233,0.40425531914893614,3.0638297872340425,0.7599066271903918,0.9859965529931927,0.6045345284559942,0.4831895536500512,source_like_smooth3,peeks_hz0.75_exp4_8_mg4_min8
1.0,0.6770659739126715,0.5481709468165397,0.40425531914893614,3.021276595744681,0.76053214752982,0.9946751644153651,0.6045345284559942,0.48288190456709046,source_like_smooth3,peeks_hz0.55_exp4_8_mg4_min10
1.0,0.6736574816030861,0.5274252194810382,0.40425531914893614,2.8297872340425534,0.7562446909719746,0.9977419729360526,0.5999712664782605,0.48263921998077547,source_like_smooth5,peeks_hz0.55_exp6_10_mg4_min8
1.0,0.7320457927889865,0.5008428870210998,0.425531914893617,1.9787234042553192,0.8168205885614083,1.3326903835120911,0.5181236769013265,0.4823804751981639,object_scene_light_norm,peeks_hz0.55_exp10_16_mg4_min6
1.0,0.7320457927889865,0.5008428870210998,0.425531914893617,1.9787234042553192,0.8168205885614083,1.3326903835120911,0.5181236769013265,0.4823804751981639,object_scene_light_norm,peeks_hz0.55_exp10_16_mg4_min8
1.0,0.7320457927889865,0.5008428870210998,0.425531914893617,1.9787234042553192,0.8168205885614083,1.3326903835120911,0.5181236769013265,0.4823804751981639,object_scene_light_norm,peeks_hz0.55_exp10_16_mg4_min10
1.0,0.6736574816030861,0.5274252194810382,0.40425531914893614,2.851063829787234,0.7566387020042835,0.9977419729360526,0.5999712664782605,0.4820560836529582,source_like_smooth5,peeks_hz0.55_exp6_10_mg4_min6
1.0,0.6770659739126715,0.5481709468165397,0.40425531914893614,3.0425531914893615,0.761614008330397,0.9946751644153651,0.6045345284559942,0.48202362833196594,source_like_smooth3,peeks_hz0.55_exp4_8_mg4_min8
1.0,0.6562074210861303,0.5221083070350018,0.3617021276595745,2.8085106382978724,0.7195334153132114,0.9693832997196534,0.5783886156896961,0.48170343157161555,object_only_smooth5,peeks_hz0.75_exp4_8_mg8_min10
1.0,0.6770659739126715,0.5527134707014233,0.40425531914893614,3.106382978723404,0.7624525446299263,0.9859965529931927,0.6045345284559942,0.48132012284445014,source_like_smooth3,peeks_hz0.75_exp4_8_mg4_min6
1.0,0.6280142775488493,0.5012373904582166,0.3617021276595745,2.8297872340425534,0.693576813933119,0.9414230326025659,0.5999712664782605,0.48105446905609967,source_like_smooth5,peeks_hz1.35_exp4_8_mg8_min10
1.0,0.6562074210861303,0.5221083070350018,0.3617021276595745,2.8297872340425534,0.7200949676935696,0.9693832997196534,0.5783886156896961,0.48105327870457854,object_only_smooth5,peeks_hz0.75_exp4_8_mg8_min6
1.0,0.6562074210861303,0.5221083070350018,0.3617021276595745,2.8297872340425534,0.7200949676935696,0.9693832997196534,0.5783886156896961,0.48105327870457854,object_only_smooth5,peeks_hz0.75_exp4_8_mg8_min8
1.0,0.6305472056136923,0.5040041272675065,0.3617021276595745,2.872340425531915,0.6959388136355442,0.9257188786005395,0.5999712664782605,0.48062248968794996,source_like_smooth5,peeks_hz1.35_exp4_8_mg8_min6
1.0,0.6280142775488493,0.5012373904582166,0.3617021276595745,2.851063829787234,0.6943021524244151,0.9414230326025659,0.5999712664782605,0.4803388017446876,source_like_smooth5,peeks_hz1.35_exp4_8_mg8_min8
1.0,0.6700248920857016,0.5279994445095172,0.3829787234042553,2.851063829787234,0.7500993146268058,0.98841505390493,0.5999712664782605,0.48021999964493306,source_like_smooth5,peeks_hz0.75_exp6_10_mg4_min10
1.0,0.6770659739126715,0.5481709468165397,0.40425531914893614,3.0851063829787235,0.7641599257699315,0.9946751644153651,0.6045345284559942,0.4801541975263649,source_like_smooth3,peeks_hz0.55_exp4_8_mg4_min6
